IP地址,端口,TLS,数据中心,地区,城市,网络延迟,速度
103.184.44.204,443,true,SJC,North America,San Jose,187 ms,3.35 MB/s
103.184.45.249,443,true,SJC,North America,San Jose,195 ms,3.35 MB/s
103.184.44.189,443,true,SJC,North America,San Jose,191 ms,3.35 MB/s
103.184.44.88,443,true,SJC,North America,San Jose,187 ms,3.35 MB/s
103.184.44.154,443,true,SJC,North America,San Jose,194 ms,3.34 MB/s
103.184.44.27,443,true,SJC,North America,San Jose,190 ms,3.32 MB/s
103.184.44.120,443,true,SJC,North America,San Jose,192 ms,3.32 MB/s
103.184.45.163,443,true,SJC,North America,San Jose,193 ms,3.30 MB/s
103.184.44.160,443,true,SJC,North America,San Jose,190 ms,3.29 MB/s
103.184.44.56,443,true,SJC,North America,San Jose,180 ms,3.29 MB/s
103.184.45.59,443,true,SJC,North America,San Jose,191 ms,3.27 MB/s
103.184.45.244,443,true,SJC,North America,San Jose,182 ms,3.27 MB/s
103.184.45.25,443,true,SJC,North America,San Jose,188 ms,3.26 MB/s
103.184.44.75,443,true,SJC,North America,San Jose,189 ms,3.26 MB/s
103.184.44.53,443,true,SJC,North America,San Jose,188 ms,3.25 MB/s
103.184.45.189,443,true,SJC,North America,San Jose,212 ms,3.23 MB/s
103.184.45.112,443,true,SJC,North America,San Jose,192 ms,3.20 MB/s
103.184.44.84,443,true,SJC,North America,San Jose,183 ms,3.20 MB/s
103.184.45.47,443,true,SJC,North America,San Jose,195 ms,3.19 MB/s
103.184.44.186,443,true,SJC,North America,San Jose,186 ms,3.19 MB/s
103.184.44.179,443,true,SJC,North America,San Jose,193 ms,3.18 MB/s
103.184.45.32,443,true,SJC,North America,San Jose,190 ms,3.16 MB/s
103.184.45.126,443,true,SJC,North America,San Jose,227 ms,3.14 MB/s
103.184.44.145,443,true,SJC,North America,San Jose,185 ms,3.13 MB/s
103.184.44.124,443,true,SJC,North America,San Jose,190 ms,3.13 MB/s
103.184.45.65,443,true,SJC,North America,San Jose,187 ms,3.13 MB/s
103.184.44.65,443,true,SJC,North America,San Jose,187 ms,3.12 MB/s
103.184.44.63,443,true,SJC,North America,San Jose,191 ms,3.12 MB/s
103.184.45.181,443,true,SJC,North America,San Jose,190 ms,3.12 MB/s
103.184.44.192,443,true,SJC,North America,San Jose,191 ms,3.11 MB/s
103.184.44.87,443,true,SJC,North America,San Jose,197 ms,3.10 MB/s
103.184.45.206,443,true,SJC,North America,San Jose,238 ms,3.08 MB/s
103.184.44.121,443,true,SJC,North America,San Jose,194 ms,3.08 MB/s
103.184.45.23,443,true,SJC,North America,San Jose,195 ms,3.07 MB/s
103.184.44.61,443,true,SJC,North America,San Jose,187 ms,3.07 MB/s
103.184.45.48,443,true,SJC,North America,San Jose,227 ms,3.06 MB/s
103.184.45.69,443,true,SJC,North America,San Jose,182 ms,3.05 MB/s
103.184.45.214,443,true,SJC,North America,San Jose,187 ms,3.05 MB/s
103.184.45.116,443,true,SJC,North America,San Jose,190 ms,3.04 MB/s
103.184.45.120,443,true,SJC,North America,San Jose,191 ms,3.03 MB/s
103.184.45.192,443,true,SJC,North America,San Jose,181 ms,3.01 MB/s
103.184.45.82,443,true,SJC,North America,San Jose,195 ms,3.00 MB/s
103.184.44.247,443,true,SJC,North America,San Jose,237 ms,2.98 MB/s
103.184.45.227,443,true,SJC,North America,San Jose,192 ms,2.97 MB/s
103.184.45.185,443,true,SJC,North America,San Jose,190 ms,2.97 MB/s
103.184.45.188,443,true,SJC,North America,San Jose,189 ms,2.92 MB/s
103.184.44.59,443,true,SJC,North America,San Jose,186 ms,2.90 MB/s
103.184.45.57,443,true,SJC,North America,San Jose,187 ms,2.88 MB/s
103.184.44.15,443,true,SJC,North America,San Jose,237 ms,2.88 MB/s
103.184.45.55,443,true,SJC,North America,San Jose,192 ms,2.87 MB/s
